metric,value,unit,period,notes,source,source_url
median_time_request_to_operation,5,years,projects_built_in_2023,Up from ~3 years in 2015 and <2 years in 2008,Utility Dive summary of LBNL,https://www.utilitydive.com/news/grid-interconnection-queue-berkeley-lab-lbnl/712926/
completion_rate_capacity_2000_2018,14,percent,2000-2018,Percent of capacity in queues that reached operation,Utility Dive summary of LBNL,https://www.utilitydive.com/news/grid-interconnection-queue-berkeley-lab-lbnl/712926/
