as_of,total_capacity_gw,generation_gw,storage_gw,notes,source,source_url
2023-12-31,2600,1570,1030,Active in transmission interconnection queues at end-2023,LBNL Queued Up 2024 (April 2024),https://emp.lbl.gov/publications/queued-2024-edition-characteristics
2024-12-31,2300,NA,NA,Active capacity through end-2024 (revised total across queues),LBNL Queues page (updated Aug 2025),https://emp.lbl.gov/queues
