date,buyer,seller,plant_or_source,capacity_mw,term_years,expected_cod,location,notes,source,source_url
2024-09-20,Microsoft,Constellation Energy,Three Mile Island Unit 1,835,20,2028,"Pennsylvania, US",Restart of TMI Unit 1 under long-term PPA,The Guardian (2024-09-20); Reuters (2024-09-20),https://www.theguardian.com/environment/2024/sep/20/three-mile-island-nuclear-plant-reopen-microsoft
2025-06-11,Amazon Web Services,Talen Energy,Susquehanna Nuclear Plant,1920,17,ramp to 2032,"Pennsylvania, US",PPA through 2042; front-of-meter transition in 2026,Talen press release; Reuters (2025-06-11),https://ir.talenenergy.com/news-releases/news-release-details/talen-energy-expands-nuclear-energy-relationship-amazon
