Ticker,Index,Year,Utilisation,IncrementalNet,PresentValue
ORCL,8,2034,1.2,23.482368000000005,9.958816342546246
ASML,0,2026,0.1,0.41636571428571445,0.37851428571428586
ASML,1,2027,0.2,0.8327314285714289,0.6882077922077924
ASML,2,2028,0.4,1.6654628571428578,1.2512868949232587
ASML,3,2029,0.7,2.914560000000001,1.9906836964688206
ASML,4,2030,1.0,4.1636571428571445,2.585303501907559
ASML,5,2031,1.1,4.580022857142859,2.585303501907559
ASML,6,2032,1.2,4.996388571428573,2.5639373572636943
ASML,7,2033,1.2,4.996388571428573,2.3308521429669944
ASML,8,2034,1.2,4.996388571428573,2.1189564936063587
SKH,0,2026,0.1,3.7889280000000007,3.4444800000000004
SKH,1,2027,0.2,7.5778560000000015,6.262690909090909
SKH,2,2028,0.4,15.155712000000003,11.386710743801652
SKH,3,2029,0.7,26.522496000000004,18.115221637866263
SKH,4,2030,1.0,37.88928000000001,23.526261867358784
SKH,5,2031,1.1,41.67820800000001,23.526261867358784
SKH,6,2032,1.2,45.467136,23.33182995109961
SKH,7,2033,1.2,45.467136,21.210754500999645
SKH,8,2034,1.2,45.467136,19.282504091817856
MU,0,2026,0.1,1.7222400000000004,1.5656727272727275
MU,1,2027,0.2,3.444480000000001,2.8466776859504135
MU,2,2028,0.4,6.888960000000002,5.175777610818933
MU,3,2029,0.7,12.055680000000002,8.234191653575575
MU,4,2030,1.0,17.222400000000004,10.693755394253992
MU,5,2031,1.1,18.944640000000007,10.693755394253992
MU,6,2032,1.2,20.666880000000003,10.605377250499824
MU,7,2033,1.2,20.666880000000003,9.64125204590893
MU,8,2034,1.2,20.666880000000003,8.764774587189935
NEE,0,2026,0.1,0.19186502400000002,0.1744227490909091
NEE,1,2027,0.2,0.38373004800000005,0.31713227107438013
NEE,2,2028,0.4,0.7674600960000001,0.5766041292261457
NEE,3,2029,0.7,1.343055168,0.9173247510415953
NEE,4,2030,1.0,1.91865024,1.1913308455085652
NEE,5,2031,1.1,2.1105152640000004,1.1913308455085654
NEE,6,2032,1.2,2.302380288,1.181485136041552
NEE,7,2033,1.2,2.302380288,1.0740773964014108
NEE,8,2034,1.2,2.302380288,0.9764339967285552
CEG,0,2026,0.1,0.175876272,0.15988751999999998
CEG,1,2027,0.2,0.351752544,0.29070458181818176
CEG,2,2028,0.4,0.703505088,0.5285537851239668
CEG,3,2029,0.7,1.231133904,0.840881021788129
CEG,4,2030,1.0,1.75876272,1.0920532750495182
CEG,5,2031,1.1,1.9346389920000002,1.092053275049518
CEG,6,2032,1.2,2.110515264,1.0830280413714226
CEG,7,2033,1.2,2.110515264,0.9845709467012932
CEG,8,2034,1.2,2.110515264,0.8950644970011755
TSLA,0,2026,0.1,3.4246752000000003,3.113341090909091
TSLA,1,2027,0.2,6.8493504000000005,5.660620165289256
TSLA,2,2028,0.4,13.698700800000001,10.292036664162282
TSLA,3,2029,0.7,23.9727264,16.373694692985445
TSLA,4,2030,1.0,34.246752,21.264538562318762
TSLA,5,2031,1.1,37.671427200000004,21.264538562318762
TSLA,6,2032,1.2,41.0961024,21.088798574200418
TSLA,7,2033,1.2,41.0961024,19.171635067454922
TSLA,8,2034,1.2,41.0961024,17.42875915223175
